text,label
"Beli untuk kado, kemasan cantik dan rapi. Penerima juga suka banget!",positive
"Produk tidak sesuai fungsinya, tidak bisa dipakai sama sekali. Sampah! Kapok!",negative
"Barang cepat rusak, baru seminggu sudah tidak berfungsi. Kualitas jelek banget!",negative
Kualitas foto bagus tapi aslinya sangat mengecewakan. Classic bait and switch! Parah banget!,negative
Barang nyampe 1 bulan setelah order. Sudah tidak butuh lagi. Sangat kecewa! Rugi deh!,negative
"Harga promo, barang berkualitas. Kapan ada flash sale lagi? Mau borong!",positive
"Pengiriman sangat tidak aman, dibanting-banting kayaknya. Barang rusak semua! Zonk!",negative
Seller tidak ramah waktu komplain. Malah ngomong kasar. Sangat mengecewakan! Jangan beli!,negative
"Respon seller lama banget, nunggu 3 hari baru dibalas. Gak profesional! Tidak recommended!",negative
"Stok banyak, pengiriman same day, barang ori. Toko favorit aku! No tipu-tipu!",positive
Seller tiba-tiba offline setelah transfer. Takut kena scam. Tolong diurus! Tidak recommended!,negative
"Harga paling murah se-marketplace, kualitas tetap oke. Auto repeat order! Top seller!",positive
"Seller tidak komunikatif, pertanyaan tidak dijawab. Pelayanan sangat buruk!",negative
"Pengiriman sangat tidak aman, dibanting-banting kayaknya. Barang rusak semua! Rugi deh!",negative
"Foto editing terlalu berlebihan, aslinya jauh berbeda. Merasa ditipu!",negative
"Pengiriman sangat tidak aman, dibanting-banting kayaknya. Barang rusak semua!",negative
Toko ini selalu jadi andalan belanja bulanan aku. Konsisten kualitasnya! Bintang 5!,positive
Material sangat tipis dan mudah robek. Tidak awet sama sekali. Jangan beli! Zonk!,negative
"Barang tidak sesuai gambar, warna beda jauh. Kecewa banget sama toko ini!",negative
Ongkos kirim mahal tapi packing jelek. Barang pecah waktu nyampe. Kesal!,negative
Material sangat tipis dan mudah robek. Tidak awet sama sekali. Jangan beli! Rugi deh!,negative
"Seller tidak komunikatif, pertanyaan tidak dijawab. Pelayanan sangat buruk! Jangan beli!",negative
"Kualitas sangat murahan, tidak sebanding sama harganya. Rugi beli disini! Kapok!",negative
"Udah beli berkali-kali di sini, selalu memuaskan. Seller terpercaya banget!",positive
"Harga paling murah se-marketplace, kualitas tetap oke. Auto repeat order! Recommended!",positive
"Seller tidak jujur, deskripsi produk menipu. Barang KW padahal bilang ori! Rugi deh!",negative
"Baru pertama beli di toko ini, ternyata memuaskan. Bakal balik lagi nih! Recommended!",positive
"Barang sesuai pesanan, tidak ada yang kurang. Fast respon seller. Mantap! Puas banget!",positive
"Produk sesuai klaim, berasa banget manfaatnya. Langsung langganan! Legit!",positive
"Dikemas dengan hati-hati, barang elektronik nyampe aman. Seller profesional! Terbaik!",positive
Ukuran jauh lebih kecil dari deskripsi. Foto mengelabui pembeli!,negative
"Beli ini buat keluarga, semua suka. Pasti repeat order bulan depan!",positive
"Udah banyak beli produk disini, semuanya satisfying. Toko terpercaya! Puas banget!",positive
Respon toko ini tercepat yang pernah aku rasain. Langsung diproses. Top! Bintang 5!,positive
"Produk berkualitas tinggi, tidak mudah rusak. Worth every penny!",positive
"Barang ready stock, langsung dikirim. Gak perlu nunggu lama. Puas! Top seller!",positive
"Barang ori terjamin, ada segel resmi. Beli disini aja daripada yang lain!",positive
"Udah banyak beli produk disini, semuanya satisfying. Toko terpercaya! Bintang 5!",positive
Sudah bayar tapi barang tidak kunjung dikirim. Minta cancel susah banget!,negative
"Produk bagus, kualitas oke banget buat harganya. Beli lagi deh next time! Auto beli lagi!",positive
Toko ini selalu jadi andalan belanja bulanan aku. Konsisten kualitasnya!,positive
"Barang tidak sesuai gambar, warna beda jauh. Kecewa banget sama toko ini! Minta refund!",negative
"Packing sangat buruk, kardus tipis tanpa bubble wrap. Sudah pasti rusak dong!",negative
"Warna dan ukuran pas banget, sesuai deskripsi. Puas dengan pembelian ini!",positive
"Seller jujur, barang sesuai deskripsi. Chat juga dibalas cepet. Good service! Auto beli lagi!",positive
"Pengiriman sangat lambat, 2 minggu baru nyampe. Seller tidak responsif sama sekali.",negative
"Harga promo, barang berkualitas. Kapan ada flash sale lagi? Mau borong!",positive
"Seller tidak bertanggung jawab, sudah komplain malah diabaikan. Kesal! Tidak recommended!",negative
"Nyampe lebih cepat dari estimasi, kondisi sempurna. Langsung pake!",positive
"Barang sesuai gambar, kualitas oke, harga bersaing. Recommended buat semua!",positive
Toko ini selalu jadi andalan belanja bulanan aku. Konsisten kualitasnya! Legit!,positive
Material sangat kasar dan tidak nyaman. Foto memang tidak bisa dipercaya! Zonk!,negative
"Barang sudah 3 minggu belum nyampe, nomor resi tidak bisa dilacak. Bagaimana ini? Tidak recommended!",negative
"Barang tidak sesuai gambar, warna beda jauh. Kecewa banget sama toko ini! Jangan beli!",negative
"Barang original, bukan KW. Langsung beli lagi stoknya. Mantap seller! Mantap!",positive
Produk premium dengan harga terjangkau. Seller ngerti kebutuhan pembeli!,positive
Seller janji kirim hari ini tapi sampai besok tidak ada kabar. Tidak amanah! Tidak profesional!,negative
Material jauh lebih tipis dari foto. Kecewa dengan kualitas produk ini! Rugi deh!,negative
"Baru pertama beli di toko ini, ternyata memuaskan. Bakal balik lagi nih! Recommended!",positive
Barang nyampe dengan kondisi kotor dan lecet. Seperti barang sisa display! Parah banget!,negative
Seller tiba-tiba offline setelah transfer. Takut kena scam. Tolong diurus! Minta refund!,negative
"Seller ramah, respon cepet, barang nyampe dalam kondisi mulus. Makasih ya kak! Recommended!",positive
"Produk sesuai klaim, berasa banget manfaatnya. Langsung langganan! Top seller!",positive
Material jauh lebih tipis dari foto. Kecewa dengan kualitas produk ini! Tidak recommended!,negative
"Barang ori terjamin, ada segel resmi. Beli disini aja daripada yang lain! Mantap!",positive
Material sangat kasar dan tidak nyaman. Foto memang tidak bisa dipercaya! Tidak profesional!,negative
"Barang sudah 3 minggu belum nyampe, nomor resi tidak bisa dilacak. Bagaimana ini? Kecewa banget!",negative
"Produk bagus, kualitas oke banget buat harganya. Beli lagi deh next time! No tipu-tipu!",positive
Material sangat tipis dan mudah robek. Tidak awet sama sekali. Jangan beli!,negative
Estimasi 3 hari tapi nyampe 2 minggu. Seller tidak update info sama sekali!,negative
"Seller komunikatif banget, bantuin aku pilih ukuran yang tepat. Makasih!",positive
"Respon seller lama banget, nunggu 3 hari baru dibalas. Gak profesional!",negative
"Pengiriman sangat lambat, 2 minggu baru nyampe. Seller tidak responsif sama sekali. Tidak recommended!",negative
"Foto editing terlalu berlebihan, aslinya jauh berbeda. Merasa ditipu!",negative
"Produk bagus, kualitas oke banget buat harganya. Beli lagi deh next time!",positive
"Produk bagus, kualitas oke banget buat harganya. Beli lagi deh next time!",positive
"Harga paling murah se-marketplace, kualitas tetap oke. Auto repeat order! Bintang 5!",positive
Respon toko ini tercepat yang pernah aku rasain. Langsung diproses. Top! Auto beli lagi!,positive
Kualitas barang melebihi ekspektasi aku. Harga murah tapi gak murahan. Top! Recommended!,positive
Barang nyampe dengan kondisi kotor dan lecet. Seperti barang sisa display! Kapok!,negative
"Produk berkualitas tinggi, tidak mudah rusak. Worth every penny! Top seller!",positive
"Barang tidak lengkap, ada bagian yang kurang. Seller malah nyalahin pembeli! Rugi deh!",negative
Respon toko ini tercepat yang pernah aku rasain. Langsung diproses. Top! Bintang 5!,positive
Seller tiba-tiba offline setelah transfer. Takut kena scam. Tolong diurus!,negative
"Seller tidak komunikatif, pertanyaan tidak dijawab. Pelayanan sangat buruk!",negative
"Barang palsu! Sudah cross-check sama yang original, beda jauh. Tolong ditindak! Parah banget!",negative
"Seller baik banget, ngasih bonus item kecil. Jadi makin suka belanja disini! Mantap!",positive
"Wah cepet banget nyampenya! Kondisi barang oke, packing rapi. Terima kasih! Auto beli lagi!",positive
Material jauh lebih tipis dari foto. Kecewa dengan kualitas produk ini!,negative
"Belanja pengalaman menyenangkan. Fast respon, barang bagus, harga oke! Bintang 5!",positive
"Warna dan ukuran pas banget, sesuai deskripsi. Puas dengan pembelian ini! No tipu-tipu!",positive
"Beli buat usaha, kualitasnya consistent. Jadi supplier tetap nih! Terbaik!",positive
"Barang sesuai deskripsi, pengiriman cepat, packing aman banget, seller responsif. Recommended!",positive
"Stok banyak, pengiriman same day, barang ori. Toko favorit aku! Bintang 5!",positive
Respon seller bintang 5! Sabar jawab pertanyaan aku yang banyak. Recommended!,positive
Estimasi 3 hari tapi nyampe 2 minggu. Seller tidak update info sama sekali! Jangan beli!,negative
Respon toko ini tercepat yang pernah aku rasain. Langsung diproses. Top!,positive
"Seller tidak bertanggung jawab, sudah komplain malah diabaikan. Kesal! Parah banget!",negative
Material sangat tipis dan mudah robek. Tidak awet sama sekali. Jangan beli! Tidak recommended!,negative
"Sudah order seminggu, status masih pending. Seller tidak ada respon sama sekali! Tidak profesional!",negative
"Kualitas sangat rendah, tidak sesuai harga. Nyesel banget beli di sini!",negative
Beli 2 item tapi yang nyampe cuma 1. Seller bilang sudah dikirim semua. Bohong! Zonk!,negative
"Jahitan sangat rapuh, baru dipakai sekali langsung lepas. Kualitas nol! Jangan beli!",negative
"Packing sangat buruk, kardus tipis tanpa bubble wrap. Sudah pasti rusak dong!",negative
Akhirnya nemu toko yang jual produk ini dengan harga wajar. Puas!,positive
"Beli ini buat keluarga, semua suka. Pasti repeat order bulan depan!",positive
"Seller jujur, barang sesuai deskripsi. Chat juga dibalas cepet. Good service! Recommended!",positive
Barang murah tapi kualitas gak kalah sama yang mahal. Rekomendasi banget! Mantap!,positive
"Produk sesuai klaim, berasa banget manfaatnya. Langsung langganan! Mantap!",positive
"Seller fast response, barang langsung diproses. Sampai 2 hari. Top! Auto beli lagi!",positive
Toko ini legit banget. Aku udah rekomendasiin ke teman-teman juga! Recommended!,positive
"Material bagus, tidak mudah rusak. Udah seminggu pakai masih oke!",positive
"Paket nyampe selamat, isi lengkap, barang mulus tanpa cacat. Terima kasih! Terpercaya!",positive
"Belanja pengalaman menyenangkan. Fast respon, barang bagus, harga oke! Terpercaya!",positive
"Dikemas dengan hati-hati, barang elektronik nyampe aman. Seller profesional!",positive
"Produk sesuai klaim, berasa banget manfaatnya. Langsung langganan!",positive
Respon seller bintang 5! Sabar jawab pertanyaan aku yang banyak. Recommended! Bintang 5!,positive
"Seller amanah, barang sesuai foto, harga pas di kantong. Mantap!",positive
"Packing sangat buruk, kardus tipis tanpa bubble wrap. Sudah pasti rusak dong!",negative
"Kualitas sangat murahan, tidak sebanding sama harganya. Rugi beli disini! Zonk!",negative
Kualitas barang melebihi ekspektasi aku. Harga murah tapi gak murahan. Top! Mantap!,positive
"Kualitas sangat mengecewakan, beda banget sama foto. Jangan beli di sini! Minta refund!",negative
Barang bekas dijual sebagai barang baru. Kecewa banget sama kejujuran seller! Kapok!,negative
"Nyampe lebih cepat dari estimasi, kondisi sempurna. Langsung pake!",positive
Customer service sangat tidak membantu. Masalah berputar-putar tanpa solusi! Rugi deh!,negative
Estimasi 3 hari tapi nyampe 2 minggu. Seller tidak update info sama sekali!,negative
"Kualitas jahitan bagus, materialnya nyaman dipakai. Beli 3 sekaligus!",positive
"Seller amanah, barang sesuai foto, harga pas di kantong. Mantap! Mantap!",positive
"Cepet banget nyampenya, 1 hari udah di tangan. Packing dobel bubble wrap. Aman!",positive
"Produk tidak sesuai fungsinya, tidak bisa dipakai sama sekali. Sampah! Zonk!",negative
"Material bagus, tidak mudah rusak. Udah seminggu pakai masih oke! Recommended!",positive
"Nyampe lebih cepat dari estimasi, kondisi sempurna. Langsung pake! Legit!",positive
"Produk bagus, kualitas oke banget buat harganya. Beli lagi deh next time! Puas banget!",positive
"Barang sesuai gambar, kualitas oke, harga bersaing. Recommended buat semua! Mantap!",positive
"Dikemas dengan hati-hati, barang elektronik nyampe aman. Seller profesional! Mantap!",positive
Akhirnya nemu toko yang jual produk ini dengan harga wajar. Puas! Legit!,positive
"Kualitas sangat murahan, tidak sebanding sama harganya. Rugi beli disini!",negative
"Barang sudah 3 minggu belum nyampe, nomor resi tidak bisa dilacak. Bagaimana ini?",negative
"Barang sesuai deskripsi, pengiriman cepat, packing aman banget, seller responsif. Recommended! Auto beli lagi!",positive
Foto di toko beda 180 derajat sama aslinya. Merasa ditipu!,negative
"Foto editing terlalu berlebihan, aslinya jauh berbeda. Merasa ditipu! Rugi deh!",negative
Seller ngotot tidak mau return padahal barang jelas cacat. Tidak profesional!,negative
"Seller aktif, update info pengiriman. Barang nyampe hari ini. Makasih! Terpercaya!",positive
"Udah banyak beli produk disini, semuanya satisfying. Toko terpercaya!",positive
Seller tidak ramah waktu komplain. Malah ngomong kasar. Sangat mengecewakan! Kecewa banget!,negative
Estimasi 3 hari tapi nyampe 2 minggu. Seller tidak update info sama sekali!,negative
"Barang palsu! Sudah cross-check sama yang original, beda jauh. Tolong ditindak!",negative
Ukuran jauh lebih kecil dari deskripsi. Foto mengelabui pembeli!,negative
"Seller aktif, update info pengiriman. Barang nyampe hari ini. Makasih!",positive
Return process sangat ribet dan lama. Sampai sekarang belum dapat solusi!,negative
"Produk tidak sesuai fungsinya, tidak bisa dipakai sama sekali. Sampah! Kapok!",negative
Sudah 2x komplain tapi tidak ada solusi dari seller. Minta refund tidak digubris! Parah banget!,negative
"Barang ready stock, langsung dikirim. Gak perlu nunggu lama. Puas! Bintang 5!",positive
"Harga paling murah se-marketplace, kualitas tetap oke. Auto repeat order! Puas banget!",positive
Toko ini selalu jadi andalan belanja bulanan aku. Konsisten kualitasnya! Terpercaya!,positive
"Kualitas sangat mengecewakan, beda banget sama foto. Jangan beli di sini! Kecewa banget!",negative
"Udah banyak beli produk disini, semuanya satisfying. Toko terpercaya!",positive
"Pengiriman sangat lambat, 2 minggu baru nyampe. Seller tidak responsif sama sekali. Zonk!",negative
Beli untuk hadiah tapi barang rusak waktu nyampe. Malu sama yang dikasih!,negative
Warna barang pudar setelah sekali cuci. Kualitas cat sangat buruk!,negative
Beli 2 item tapi yang nyampe cuma 1. Seller bilang sudah dikirim semua. Bohong!,negative
Akhirnya nemu toko yang jual produk ini dengan harga wajar. Puas!,positive
"Belanja pengalaman menyenangkan. Fast respon, barang bagus, harga oke! Auto beli lagi!",positive
"Packing super aman, barang fragile nyampe selamat 100%. Bintang 5!",positive
Seller tiba-tiba offline setelah transfer. Takut kena scam. Tolong diurus! Jangan beli!,negative
Akhirnya nemu toko yang jual produk ini dengan harga wajar. Puas! Terpercaya!,positive
"Produk berkualitas tinggi, tidak mudah rusak. Worth every penny!",positive
Akhirnya nemu toko yang jual produk ini dengan harga wajar. Puas! Terbaik!,positive
Barang bekas dijual sebagai barang baru. Kecewa banget sama kejujuran seller!,negative
"Kualitas sangat murahan, tidak sebanding sama harganya. Rugi beli disini! Kapok!",negative
"Sudah order seminggu, status masih pending. Seller tidak ada respon sama sekali! Zonk!",negative
Kualitas foto dan aslinya sama persis. Seller jujur! Auto follow toko ini. Top seller!,positive
Return process sangat ribet dan lama. Sampai sekarang belum dapat solusi! Tidak profesional!,negative
"Barang tidak lengkap, ada bagian yang kurang. Seller malah nyalahin pembeli! Jangan beli!",negative
"Seller tidak komunikatif, pertanyaan tidak dijawab. Pelayanan sangat buruk! Parah banget!",negative
Material sangat kasar dan tidak nyaman. Foto memang tidak bisa dipercaya! Jangan beli!,negative
Material sangat kasar dan tidak nyaman. Foto memang tidak bisa dipercaya!,negative
Barang tidak ori meski diklaim original. Sudah cek dan pasti palsu. Kecewa! Minta refund!,negative
Kualitas barang melebihi ekspektasi aku. Harga murah tapi gak murahan. Top! Auto beli lagi!,positive
"Beli untuk kado, kemasan cantik dan rapi. Penerima juga suka banget! Legit!",positive
"Barang ready stock, langsung dikirim. Gak perlu nunggu lama. Puas!",positive
"Foto editing terlalu berlebihan, aslinya jauh berbeda. Merasa ditipu!",negative
Seller ngotot tidak mau return padahal barang jelas cacat. Tidak profesional! Parah banget!,negative
Beli untuk hadiah tapi barang rusak waktu nyampe. Malu sama yang dikasih! Tidak profesional!,negative
Toko ini selalu jadi andalan belanja bulanan aku. Konsisten kualitasnya! Legit!,positive
"Respon seller lama banget, nunggu 3 hari baru dibalas. Gak profesional! Kecewa banget!",negative
"Seller komunikatif banget, bantuin aku pilih ukuran yang tepat. Makasih! Top seller!",positive
Toko ini legit banget. Aku udah rekomendasiin ke teman-teman juga! Puas banget!,positive
"Produknya bagus, tahan lama, worth it banget harganya! Top seller!",positive
Material jauh lebih tipis dari foto. Kecewa dengan kualitas produk ini! Rugi deh!,negative
"Seller tidak jujur, deskripsi produk menipu. Barang KW padahal bilang ori! Jangan beli!",negative
"Kualitas sangat rendah, tidak sesuai harga. Nyesel banget beli di sini!",negative
Barang murah tapi kualitas gak kalah sama yang mahal. Rekomendasi banget! Recommended!,positive
"Produknya bagus, warnanya persis kayak di foto, ukurannya pas. Seneng banget!",positive
Beli 2 item tapi yang nyampe cuma 1. Seller bilang sudah dikirim semua. Bohong! Minta refund!,negative
"Barang bagus, awet, sesuai ekspektasi. Gak nyesel beli di sini! No tipu-tipu!",positive
Sudah bayar tapi barang tidak kunjung dikirim. Minta cancel susah banget! Zonk!,negative
Kualitas foto dan aslinya sama persis. Seller jujur! Auto follow toko ini.,positive
Barang tidak ori meski diklaim original. Sudah cek dan pasti palsu. Kecewa!,negative
Seller tidak bisa dihubungi setelah transaksi. Sangat mencurigakan!,negative
"Bau barang sangat menyengat, seperti bahan kimia berbahaya. Tidak layak jual!",negative
"Sudah order seminggu, status masih pending. Seller tidak ada respon sama sekali! Minta refund!",negative
"Barang sesuai deskripsi, pengiriman cepat, packing aman banget, seller responsif. Recommended! Puas banget!",positive
Sudah 2x komplain tapi tidak ada solusi dari seller. Minta refund tidak digubris! Jangan beli!,negative
"Isi tidak sesuai dengan deskripsi, banyak item yang kurang. Tidak lengkap! Rugi deh!",negative
"Barang sudah 3 minggu belum nyampe, nomor resi tidak bisa dilacak. Bagaimana ini? Minta refund!",negative
"Seller amanah, barang sesuai foto, harga pas di kantong. Mantap! Terpercaya!",positive
Respon toko ini tercepat yang pernah aku rasain. Langsung diproses. Top!,positive
Barang nyampe 1 bulan setelah order. Sudah tidak butuh lagi. Sangat kecewa! Tidak recommended!,negative
"Udah beli berkali-kali di sini, selalu memuaskan. Seller terpercaya banget! No tipu-tipu!",positive
Pengiriman cepat meski hari hujan. Barang aman terbungkus plastik. Thumps up!,positive
"Barang sudah 3 minggu belum nyampe, nomor resi tidak bisa dilacak. Bagaimana ini?",negative
Respon toko ini tercepat yang pernah aku rasain. Langsung diproses. Top! Legit!,positive
"Kualitas sangat mengecewakan, beda banget sama foto. Jangan beli di sini!",negative
"Produknya bagus, tahan lama, worth it banget harganya! Legit!",positive
"Produk tidak sesuai fungsinya, tidak bisa dipakai sama sekali. Sampah! Parah banget!",negative
"Ukuran tidak sesuai, sudah minta yang M tapi dikirim S. Ribet ngurusin returnya! Tidak profesional!",negative
"Chat seller gak dibales-bales. Barang lama dikirim, sampai sudah rusak. Parah! Kapok!",negative
Barang tidak ori meski diklaim original. Sudah cek dan pasti palsu. Kecewa! Parah banget!,negative
"Barang datang dalam kondisi rusak, packing asal-asalan. Minta refund! Parah banget!",negative
"Stok banyak, pengiriman same day, barang ori. Toko favorit aku!",positive
Beli 2 item tapi yang nyampe cuma 1. Seller bilang sudah dikirim semua. Bohong! Kapok!,negative
Barang nyampe 1 bulan setelah order. Sudah tidak butuh lagi. Sangat kecewa! Tidak recommended!,negative
Barang tidak ori meski diklaim original. Sudah cek dan pasti palsu. Kecewa! Tidak profesional!,negative
"Seller tidak jujur, deskripsi produk menipu. Barang KW padahal bilang ori! Zonk!",negative
Sudah 2x komplain tapi tidak ada solusi dari seller. Minta refund tidak digubris!,negative
"Produk berkualitas tinggi, tidak mudah rusak. Worth every penny! Mantap!",positive
Seller tidak ramah waktu komplain. Malah ngomong kasar. Sangat mengecewakan! Parah banget!,negative
Return process sangat ribet dan lama. Sampai sekarang belum dapat solusi!,negative
"Produknya bagus, tahan lama, worth it banget harganya!",positive
"Seller fast response, barang langsung diproses. Sampai 2 hari. Top! Mantap!",positive
"Packing super aman, barang fragile nyampe selamat 100%. Bintang 5! Puas banget!",positive
"Baru pertama beli di toko ini, ternyata memuaskan. Bakal balik lagi nih! Auto beli lagi!",positive
"Seller baik banget, ngasih bonus item kecil. Jadi makin suka belanja disini!",positive
"Barang datang dalam kondisi rusak, packing asal-asalan. Minta refund! Zonk!",negative
Estimasi 3 hari tapi nyampe 2 minggu. Seller tidak update info sama sekali!,negative
"Seller tidak jujur, deskripsi produk menipu. Barang KW padahal bilang ori! Rugi deh!",negative
"Barang datang dalam kondisi rusak, packing asal-asalan. Minta refund! Kapok!",negative
"Barang sesuai pesanan, tidak ada yang kurang. Fast respon seller. Mantap! Terbaik!",positive
"Seller tidak bertanggung jawab, sudah komplain malah diabaikan. Kesal!",negative
"Kualitas sangat murahan, tidak sebanding sama harganya. Rugi beli disini! Kapok!",negative
Material sangat tipis dan mudah robek. Tidak awet sama sekali. Jangan beli! Rugi deh!,negative
Barang nyampe 1 bulan setelah order. Sudah tidak butuh lagi. Sangat kecewa!,negative
"Seller jujur, barang sesuai deskripsi. Chat juga dibalas cepet. Good service! Auto beli lagi!",positive
"Seller tidak jujur, deskripsi produk menipu. Barang KW padahal bilang ori!",negative
"Barang sudah 3 minggu belum nyampe, nomor resi tidak bisa dilacak. Bagaimana ini? Rugi deh!",negative
Barang murah tapi kualitas gak kalah sama yang mahal. Rekomendasi banget!,positive
"Warna dan ukuran pas banget, sesuai deskripsi. Puas dengan pembelian ini! No tipu-tipu!",positive
Foto di toko beda 180 derajat sama aslinya. Merasa ditipu!,negative
"Stok banyak, pengiriman same day, barang ori. Toko favorit aku!",positive
